window_size	hysteresis	covariance1_t	covariance1_R	covariance2	outlier_threshold	translation_validity_threshold	Rotation_validity_threshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
20	25	0.025	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3862890277	0.5842733231	0.4000637186	0.6051079414	0.5498279597	0.8316306862	0.4453935687	0.6736706502
20	25	0.001	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3404740665	0.4965062256	0.3665859564	0.5345846497	0.544004078	0.7933097937	0.417021367	0.6081335563
20	25	0.005	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3685382949	0.5395373134	0.3897285587	0.5705597015	0.5499426532	0.8051119403	0.4360698356	0.6384029851
20	75	0.025	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3921829999	0.5617853231	0.408716707	0.5854691493	0.5649802472	0.8093099671	0.455293318	0.6521881465
20	75	0.001	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3424213075	0.4713173128	0.3718746018	0.5118575688	0.5549636804	0.7638659884	0.4230865299	0.5823469567
20	75	0.005	2.5	5.00E-05	10	2.50E-06	5.00E-04	0.3725920734	0.5146505897	0.3969669938	0.5483189579	0.5629794826	0.7776271783	0.4441795166	0.613532242
20	1	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.1241378871	0.7755652866	0.1230916274	0.7690286624	0.1538677201	0.9613057325	0.1336990782	0.8352998938
20	10	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.2527743087	0.7176266281	0.2524404231	0.7166787265	0.3333120938	0.9462735166	0.2795089418	0.7935262904
20	50	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.2844157003	0.7031537492	0.2816108067	0.6962192817	0.3761692367	0.9299936988	0.3140652479	0.7764555766
20	100	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.2983828215	0.6890553267	0.295616159	0.6826662743	0.399859819	0.9233961154	0.3312862665	0.7650392388
20	1	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.326605072	0.7019638455	0.3259334778	0.7005204054	0.4354912705	0.9359901397	0.3626766068	0.7794914635
20	10	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.3739849624	0.6677269625	0.375136995	0.6697838453	0.5051484644	0.9019112628	0.4180901406	0.7464740235
20	1	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4009799924	0.6646577947	0.399859819	0.6628010139	0.5374792914	0.8909167723	0.4461063676	0.739458527
20	50	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.395591946	0.6305525086	0.399171658	0.636258379	0.5414171021	0.8629900467	0.4453935687	0.7099336448
20	100	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.3990059896	0.6196319018	0.4033006244	0.6263012072	0.5493182108	0.8530575896	0.4505416083	0.6996635662
20	10	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4324582643	0.6076096688	0.4346119536	0.6106356312	0.5881993118	0.826427932	0.4850898433	0.681557744
20	50	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4394214349	0.5768049515	0.4443226711	0.5832385413	0.6056964445	0.7950652392	0.4964801835	0.6517029107
20	100	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4418159806	0.5608104173	0.4481967631	0.5689097379	0.6131132917	0.778243287	0.5010420118	0.6359878141
20	25	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.2595463234	0.7143668888	0.2586975914	0.7120308664	0.3422072129	0.9418800421	0.2868170426	0.7894259324
20	200	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.3011303683	0.6803829542	0.2991334268	0.6758710049	0.4052504142	0.9156348978	0.3351714031	0.7572962856
20	800	1	1	5.00E-05	10	1.25E-06	2.50E-04	0.3093793807	0.6572008663	0.3095577928	0.6575798592	0.4249776985	0.9027612344	0.347971624	0.7391806533
20	25	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.3863463744	0.6423008475	0.3888110106	0.6463983051	0.5255256786	0.8736864407	0.4335610212	0.7207951977
20	200	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.4016362941	0.6083072766	0.4070982541	0.6165798108	0.5563400025	0.8426172554	0.4550248503	0.6891681143
20	800	1	1	5.00E-05	10	2.50E-06	5.00E-04	0.4062839302	0.5721661881	0.415037594	0.5844938981	0.5725882503	0.8063711414	0.4646365915	0.6543437425
20	25	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4370370842	0.5903649509	0.4407034535	0.5953176106	0.5986364216	0.8086589774	0.4921256531	0.664780513
20	200	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4439683956	0.5432434118	0.451752262	0.5527678154	0.6208869632	0.7597224388	0.5055358736	0.6185778887
20	800	1	1	5.00E-05	10	5.00E-06	1.00E-03	0.4478552313	0.498697318	0.4577418122	0.509706258	0.6364343061	0.7086845466	0.5140104499	0.5723627075
